id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779222840-SOL,22:34:47,1779222887.8907778,coin5min,SOL,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.34 final=84.45 | fee=0.00 slip=0.15
C5LEG-1779222813-ETH,22:34:25,1779222865.5022933,coin5min,ETH,YES_LEG,0.492,1.23,1.11,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2112.65 final=2115.88 | fee=0.00 slip=0.15
C5LEG-1779222809-BTC,22:34:15,1779222855.7875562,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76857.40 final=76929.96 | fee=0.00 slip=0.15
C5LEG-1779222792-SOL,22:33:59,1779222839.9673834,coin5min,SOL,NO_LEG,0.506,3.75,-3.9,LEG1_LOSS,,-0.01,0.0,leg1 expiry | NO only | ref=84.34 final=84.41 | fee=0.00 slip=0.15
C5LEG-1779222765-ETH,22:33:33,1779222813.3684893,coin5min,ETH,YES_LEG,0.492,1.23,1.11,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2112.47 final=2115.43 | fee=0.00 slip=0.15
C5LEG-1779222764-BTC,22:33:29,1779222809.8867896,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76844.92 final=76929.96 | fee=0.00 slip=0.15
C5LEG-1779222746-SOL,22:33:12,1779222792.19527,coin5min,SOL,NO_LEG,0.506,3.75,-3.9,LEG1_LOSS,,-0.01,0.0,leg1 expiry | NO only | ref=84.37 final=84.38 | fee=0.00 slip=0.15
C5LEG-1779222717-ETH,22:32:45,1779222765.2386146,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2111.99 final=2115.38 | fee=0.00 slip=0.15
C5LEG-1779222716-BTC,22:32:44,1779222764.6960895,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76805.83 final=76929.96 | fee=0.00 slip=0.15
C5LEG-1779222701-SOL,22:32:26,1779222746.7769024,coin5min,SOL,NO_LEG,0.506,3.75,-3.9,LEG1_LOSS,,-0.01,0.0,leg1 expiry | NO only | ref=84.35 final=84.38 | fee=0.00 slip=0.15
C5LEG-1779222670-ETH,22:31:56,1779222716.9802988,coin5min,ETH,YES_LEG,0.4982,5.0,4.89,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2112.20 final=2115.68 | fee=0.00 slip=0.15
C5LEG-1779222670-BTC,22:31:56,1779222716.5925698,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76814.54 final=76929.96 | fee=0.00 slip=0.15
